.	icon
norwalk virus	ノロウイルス
adeno-associated	アデノ随伴ウイルス

.	ng_jshort
トウキビ	1
ナンバン	1

.	emdb_img
..	virus
Human immunodeficiency virus	1155
Human immunodeficiency virus type 1	1155
Human immunodeficiency virus 1	1155

Human herpesvirus 1	5452
Human herpesvirus	5452
Zika virus	8116
Bombyx mori cypovirus	1508
Human papillomavirus	5837
Chikungunya virus	5577
Rift Valley fever virus	1549
Foot-and-mouth disease virus	3631
Acanthamoeba polyphaga mimivirus	5039
Mimivirus	5039

Human adenovirus	1016
Human adenovirus 2	1016
Dengue virus	2142
Dengue virus 1	2142
Pseudomonas virus phiKZ	1415
Pseudomonas virus phi6	1301

Dengue virus 2	5520
Bombyx mori cypovirus 1	6321
Paramecium bursaria Chlorella virus 1	5384
Hepatitis B virus	1400
Human alphaherpesvirus 1	5452
unidentified influenza virus	4034
Human gammaherpesvirus 8	1320
Human betaherpesvirus 5	5696
Dengue virus 3	5934
Human papillomavirus type 16	5932
Human adenovirus 5	1579
Infectious bursal disease virus	1238
Suid alphaherpesvirus 1	5655
Tobacco mosaic virus	1730
JC polyomavirus	5183
Dengue virus 4	2485
Staphylococcus virus 80alpha	5236
Rice dwarf virus	2782
Simian rotavirus A/SA11	2573
Nudaurelia capensis omega virus	1608
Hepatovirus A	6686
Japanese encephalitis virus	6685
Cowpea mosaic virus	3013
Sulfolobus turreted icosahedral virus 1	5584
Human herpesvirus 5 strain AD169	8703
Semliki Forest virus	1015
Brome mosaic virus	6000
Influenza A virus	8088
Enterovirus A71	5558
Enterovirus D68	7569
Human poliovirus 1 Mahoney	1113
Human gammaherpesvirus 4	30146
Adeno-associated virus	8574
Rhinovirus B14	12171
Porcine circovirus 2	8970
Adeno-associated virus - 2	8099
human papillomavirus 58	30781
Eastern equine encephalitis virus	20025
Coxsackievirus A16	0887
African swine fever virus	0815
Enterobacteria phage PRD1	2438
Human alphaherpesvirus 2	30122
Human alphaherpesvirus 1 strain KOS	1902
Murine norovirus 1	10103
Echovirus E11	0854
Escherichia virus HK97	22099
Human herpesvirus 5	31299

.. 	phage
Bacillus phage phi29	1265
Bacillus virus phi29	1265

Enterobacteria phage t7	1163
Enterobacteria phage T7	1163
Escherichia phage T7	1163

Enterobacterio phage MS2	1431
Enterobacteria phage MS2	1431

Escherichia virus T4	2774
Enterobacteria phage t4	2774
Bacteriophage t4	2774

Enterobacteria phage p22	8005
Bacteriophage p22	8005
Salmonella virus P22	8005

Escherichia virus Lambda	5012
Escherichia virus Qbeta	8254
Salmonella virus PRD1	2438
