.	img_angle
//ムービーのスナップショットの方向
..	EMDB
3zf7-sp	y90

3j36-sp	y90
3j37-sp	y90

3j3a-sp	y90
3j3b-sp	y90
3j3d-sp	y90
3j3f-sp	y90
3j38-sp	y90
3j39-sp	y90
3j3c-sp	y90
3j3e-sp	y90

3j43-sp	y90
3j44-sp	y90
1vvk-sp	y90

4byl-sp	y90
4byn-sp	y90
4byo-sp	y90
4byp-sp	y90
4byq-sp	y90
4byr-sp	y90
4bys-sp	y90
4byt-sp	y90
4byu-sp	y90
4byv-sp	y90
4byw-sp	y90
4byx-sp	y90


2wfs-dep	top
3h3w-dep	top
3h3y-dep	top
1vt4-dep	top
3iz8-dep	top
3iza-dep	top
3j2t-dep	top

2xql-dep	top
2x31-dep	top
2wvw-dep	top
2vdc-dep	top
2j9i-dep	top
1tja-dep	top
1zku-dep	top
2fl9-dep	top
2fl8-dep	top
3ezk-dep	top
3foi-dep	top
3foh-dep	top
2rec-dep	top

3iz1-1	top
3iz2-1	top

3dg0-dep	y90
3dg2-dep	y90

3dnl-dep	top
3dnn-dep	top
3dno-dep	top
3fil-dep	top

2bk1-dep	y90
2bk2-dep	y90
3iz8-sp	top
1vt4-sp	top

4a5q-dep	top

3j18-sp	y90
3j19-sp	y90

3j4v-sp	y90
3j4w-sp	y90
3j4x-sp	y90
3j4y-sp	y90
3j4z-sp	y90
3j50-sp	y90
3j51-sp	y90
3j52-sp	y90
3j53-sp	y90
3j54-sp	y90
3j55-sp	y90
3j56-sp	y90
3j57-sp	y90
3j58-sp	y90
3j59-sp	y90
3j5a-sp	y90
3j5b-sp	y90
3j5c-sp	y90
3j5d-sp	y90
3j5e-sp	y90
3j5f-sp	y90
3j5g-sp	y90
3j5h-sp	y90
3j5i-sp	y90
3j5j-sp	y90
3j5k-sp	y90
3j5n-sp	y90
3j5o-sp	y90
3j5t-sp	y90
3j5u-sp	y90
3j5w-sp	y90
3j5x-sp	y90

2brd-a	top

4atx-dep	y90

4aqv-dep	y90
4aqw-dep	y90

4bij-dep	top

4ck5-dep	y90
4ck6-dep	y90
4ck7-dep	y90

3j5z-sp	y90
3j60-sp	y90
3j61-sp	y90
3j62-sp	y90

1vw7-sp	y90
1vw8-sp	y90
1vw9-sp	y90
1vws-sp	y90
1vwu-sp	y90
1vwv-sp	y90

4cyx	top
4d0h	top
4d0i	top

1vx6-sp	y90
1vx7-sp	y90
3j7a-sp	y90
4cxb-sp	y90
4cxc-sp	y90
4cxd-sp	y90
4cxe-sp	y90

1vx0-sp	y90
1vx1-sp	y90
1vx2-sp	y90
1vx3-sp	y90
1vx4-sp	y90
1vx5-sp	y90

1vxu-sp	y90
1vxv-sp	y90
1vxw-sp	y90
1vxx-sp	y90
1vxy-sp	y90
1vxz-sp	y90

4upw-sp	y90
4upx-sp	y90
4upy-sp	y90
4upz-sp	y90
4uq0-sp	y90
4uq1-sp	y90
4uq4-sp	y90
4uq5-sp	y90

4w1z-sp	y90
4w20-sp	y90
4w21-sp	y90
4w22-sp	y90
4w23-sp	y90
4w24-sp	y90
4w25-sp	y90
4w26-sp	y90
4w27-sp	y90
4w28-sp	y90

3j8e-dep	bottom
3j8h-dep	bottom
4uwa-dep	bottom
4uwe-dep	bottom
3j8h-dep	bottom
5gky-dep	bottom
5gkz-dep	bottom
5gl0-dep	bottom
5gl1-dep	bottom

5j8v-dep	bottom

4v93-dep	top
3jbt-dep	top

.	mov_mode
5241-3	0

.	mov_fitpdb
00000-3	1abc 2abc 3abc
11079-3	6z5l
11185-3	6zfp
11211-3	6zh2
11213-3	6zh4
11215-3	6zh6
11216-3	6zh8
11217-3	6zha
11219-3	6zhe
23785-3	7mdz

.	situsmap
// invert 密度レベルが逆に（thrは自動でマイナスになるので指定しなくていい）
// rp     ローパスフィルタ分解能 
// th
// conv   とにかくいったんコンバート

//1596_thr	-0.35
7034_thr	0.1
8854_thr	2

5100_thr	1
5101_thr	1
1470_thr	0.00008
5137_thr	0.27
5138_thr	0.5
5139_thr	0.8
5140_thr	0.8
5145_thr	2.0
5148_thr	1.0
1167_thr	0.8
1750_thr	0.000000029
1780_thr	0.06
11627_thr	2
10726_thr	1.2


1657_conv	1
1813_conv	1


..	ノイズ多すぎ GroEL
5339_thr	4.5

..	密度が逆だったのを修正
//1235_thr	10.8
//1049_thr	4000

//1115_thr	916

..	conv
1330_conv	1
1305_conv	1
1461_conv	1
//1750_conv	1

..	逆
1574_invert	1
1575_invert	1

1781_invert	1
1782_invert	1

5724_invert	1
5728_invert	1
5730_invert	1

.	pdb_main_mov
6zlo	dep
6zlm	dep
6b7z	dep
4v6t	dep
5jzh	dep
2h50	dep
2h53	dep
2wfs	dep
2w4t	dep
2w4a	dep
2w4g	dep
2w4h	dep
2w4w	dep
2w4v	dep
2vrh	dep
1lu3	dep
1pn7	dep
1pn8	dep
1qza	dep
1qzb	dep
1qzc	dep
1qzd	dep
1r2w	dep
1r2x	dep
3j0g	1
3j0c	1
2wbe	dep
2b6o	1
3j17	1
3gzt	1
3gzu	1
3j2i	dep
4cc8	dep
6i85	dep

.	split2
3j0c	3j0g
3iy8	3iy9

.	pg_insideout
// ポリゴンを表裏で表示する
1029-1	1
1155-1	1
1273-1	1
1436-1	1
1450-1	1
1452-1	1
1453-1	1
1487-1	1
1489-1	1
1643-1	1
5227-1	1
1421-1	1
1051-1	1
1052-1	1
1053-1	1
1967-1	1
2045-1	1

.	pap_same_as
22445	22445
22447	22445
22448	22445
22449	22445
22450	22445
7jrg	22445
7jro	22445
7jrp	22445

21356	21356
21357	21356
6vqu	21356
6vqt	21356

30315	30315
30316	30315
30317	30315
30318	30315
30319	30315
7c9s	30315
7c9t	30315
7c9u	30315
7c9v	30315
7c9w	30315

0880	0880
0881	0880
30248	0880
30250	0880
30251	0880
6lgn	0880
6lgl	0880

30303	30303
30304	30303
7c80	30303
7c81	30303

10001	10001
6rtk	10001
10003	10001


22147	22147
22148	22147
22149	22147

9960	9960
9961	9960
9962	9960
9969	9960
9970	9960
6kf3	9960
6kf4	9960
6kf9	9960

11103	11103
11122	11103
10675	11103
11121	11103
6z6u	11103
6z9f	11103
6z9e	11103

21545	21545
21546	21545
21547	21545
21548	21545
21549	21545
6w5r	21545
6w5s	21545
6w5t	21545
6w5u	21545
6w5v	21545

20969	20969
6v05	20969
21313	20969

30166	30166
30180	30166
30181	30166
30182	30166
30183	30166
30184	30166
30185	30166
30186	30166
30187	30166
30188	30166
7bst	30166
7bto	30166
7btp	30166
7btq	30166
7btr	30166

21965	21965
21974	21965
21975	21965
21976	21965
21977	21965

21879	21879
21880	21879
21881	21879
6wr6	21879
6wrd	21879
6wr8	21879

4858	4858
4863	4858
4861	4858
6rev	4858
6rfd	4858
6rf2	4858

9858	9858
9859	9858

4620	4620
4631	4620
4632	4620

.	sample_stained
1001	yes
6665	yes
6666	yes
9709	yes
9710	yes
9711	yes
9712	yes

.	sample_cryo
1001	no
6665	no
6666	no
9709	no
9709	no
9710	no
9711	no
9712	no

.	pubmed_id_tsv_white_list
// tsvデータのほうが正しいID、スペース区切り
emdb	1920 1921 20618
pdb	
