.	emdb
2628	needle
2629	needle
2630	virus-e
2631	dna
2632	motor
2633	motor
2634	rna
2635	rna
2636	membrane
2637	rna
2638	virus-c
2640	dna
2641	cell
2644	80s
2645	virus-e
2646	80s
2647	virus-o
2648	membrane
2649	80s
2650	80s
2651	cycle
2652	cycle
2653	cycle
2654	cycle
2655	virus-e
2656	protein
2657	virus-c
2658	protein
2659	virus-c
2660	80s
2661	80s
2662	rna
2663	rna
2664	rna
2665	rna
2666	rna
2667	needle
2668	needle
2669	needle
2670	ribosome-c
2671	ribosome-c
2672	virus-c
2673	motor
2674	motor
2675	motor
2676	membrane
2677	membrane
2678	membrane
2679	misc
2680	membrane
2681	misc
2682	80s
2683	80s
2684	membrane
2685	membrane
2686	membrane
2687	membrane
2688	membrane
2689	membrane
2690	virus-e
2691	virus-e
2692	virus-e
2693	rna
2694	rna
2695	70s
2696	70s
2697	motor
2698	membrane2
2699	needle
2700	misc
2701	membrane2
2702	ribosome-c
2703	ribosome-c
2704	80s
2705	70s
2706	virus-c
2707	virus-c
2708	virus-e
2709	membrane
2710	membrane
2711	70s
2712	membrane
2713	membrane
2714	membrane
2715	membrane
2716	motor
2717	virus-c
2718	misc
2719	misc
2720	misc
2721	misc
2722	misc
2723	misc
2724	misc
2725	misc
2726	misc
2727	misc
2728	misc
2729	misc
2730	misc
2731	misc
2732	misc
2733	misc
2734	misc
2735	misc
2736	misc
2737	misc
2738	misc
2739	misc
2740	misc
2741	misc
2742	misc
2743	misc
2744	misc
2745	misc
2746	misc
2747	misc
2748	misc
2749	misc
2750	needle
2751	membrane
2752	membrane
2753	virus-c
2754	cell
2755	misc
2756	misc
2757	misc
2758	misc
2759	membrane
2760	membrane
2761	virus-e
2762	ribosome-c
2763	ribosome-c
2764	ribosome-c
2765	motor
2766	motor
2767	motor
2768	motor
2769	motor
2770	motor
2771	motor
2772	dna
2773	70s
2774	virus-o
2775	cycle
2779	dna
2780	dna
2781	membrane
2782	virus-e
2783	synth
2784	rna
2785	rna
2786	rna
2787	ribosome-c
2788	misc
2789	dna
2790	80s
2791	virus-e
2792	protein
